20:31:11.468 [main] DEBUG liquibase.servicelocator - Loaded liquibase.sqlgenerator.SqlGenerator instance liquibase.sqlgenerator.core.GetViewDefinitionGeneratorSnowflake
20:31:11.477 [main] INFO  liquibase.database - Set default schema name to public
20:31:11.477 [main] DEBUG liquibase.configuration - No configuration value for liquibase.liquibaseSchemaName aka liquibase.schemaName found
20:31:11.478 [main] DEBUG liquibase.configuration - No configuration value for liquibase.supportPropertyEscaping aka enableEscaping found
20:31:11.478 [main] DEBUG liquibase.configuration - Configuration liquibase.supportPropertyEscaping is using the default value of false
20:31:11.484 [main] DEBUG liquibase.servicelocator - Loaded liquibase.command.CommandStep instance liquibase.command.core.CalculateChecksumCommandStep
20:31:11.484 [main] DEBUG liquibase.servicelocator - Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncCommandStep
20:31:11.484 [main] DEBUG liquibase.servicelocator - Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncSqlCommandStep
20:31:11.484 [main] DEBUG liquibase.servicelocator - Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncToTagCommandStep
20:31:11.485 [main] DEBUG liquibase.servicelocator - Loaded liquibase.command.CommandStep instance liquibase.command.core.ChangelogSyncToTagSqlCommandStep
